auc-PR,auc,ap,precision,recall,f1,dataset,scenario,model,anomaly_ratio,total_samples,anomaly_count
0.0367,0.4298,0.0385,0.0381,0.087,0.053,EmailSpam-bert,C,DAGMM,0.04397705544933078,1046,46
0.96,0.9779,0.96,0.8545,0.94,0.8952,NSL-KDD,A,DevNet,0.09090909090909091,2200,200
0.141,0.6194,0.1441,0.2273,0.25,0.2381,AnnThyroid,A,GANoma,0.09090909090909091,1100,100
0.6662,0.9521,0.6687,0.7182,0.79,0.7524,NSL-KDD,B,GANoma,0.09090909090909091,2200,200
0.7859,0.9847,0.7878,0.4095,0.9348,0.5695,EmailSpam-bert,B,FEAWAD,0.04397705544933078,1046,46
0.2618,0.8599,0.2642,0.1864,0.205,0.1952,NSL-KDD,D,GANoma,0.09090909090909091,2200,200
0.8798,0.9674,0.8802,0.7773,0.855,0.8143,NSL-KDD,D,FTTransformer,0.09090909090909091,2200,200
0.9422,0.9691,0.9422,0.8409,0.925,0.881,NSL-KDD,C,FTTransformer,0.09090909090909091,2200,200
0.7412,0.9492,0.7472,0.7182,0.79,0.7524,CreditCard,A,LUNAR,0.09090909090909091,2200,200
0.8379,0.987,0.8402,0.419,0.9565,0.5828,EmailSpam-bert,A,FTTransformer,0.04397705544933078,1046,46
0.6847,0.9514,0.6854,0.5318,0.585,0.5571,NSL-KDD,C,AE,0.09090909090909091,2200,200
0.9348,0.969,0.9349,0.8318,0.915,0.8714,CreditCard,A,DevNet,0.09090909090909091,2200,200
0.9635,0.9843,0.9635,0.8545,0.94,0.8952,NSL-KDD,C,DevNet,0.09090909090909091,2200,200
0.1341,0.8232,0.1405,0.1524,0.3478,0.2119,EmailSpam-bert,C,LUNAR,0.04397705544933078,1046,46
0.5339,0.9139,0.5416,0.5636,0.62,0.5905,CreditCard,D,AE,0.09090909090909091,2200,200
0.3286,0.7772,0.3328,0.3273,0.36,0.3429,AnnThyroid,A,LUNAR,0.09090909090909091,1100,100
0.8502,0.9033,0.8503,0.75,0.825,0.7857,CreditCard,A,GANoma,0.09090909090909091,2200,200
0.2693,0.6969,0.2732,0.2727,0.3,0.2857,AnnThyroid,C,DeepSVDD,0.09090909090909091,1100,100
0.8575,0.985,0.8584,0.3905,0.8913,0.543,EmailSpam-bert,B,FTTransformer,0.04397705544933078,1046,46
0.0975,0.666,0.1024,0.1238,0.2826,0.1722,EmailSpam-bert,A,SO_GAAL,0.04397705544933078,1046,46
0.6168,0.9468,0.6193,0.7,0.77,0.7333,NSL-KDD,C,GANoma,0.09090909090909091,2200,200
0.7262,0.9101,0.725,0.6636,0.73,0.6952,CreditCard,C,DAGMM,0.09090909090909091,2200,200
