model;dataset;scenario;time
FTTransformer;AnnThyroid;C;74.76
FEAWAD;AnnThyroid;C;258.41
DevNet;AnnThyroid;C;12.62
FTTransformer;AnnThyroid;D;177.29
FEAWAD;AnnThyroid;D;258.17
DevNet;AnnThyroid;D;13.2
FTTransformer;AnnThyroid;E;186.16
FEAWAD;AnnThyroid;E;256.74
DevNet;AnnThyroid;E;13.11
AE;EmailSpam-bert;A;2.82
VAE;EmailSpam-bert;A;31.61
DeepSVDD;EmailSpam-bert;A;3.19
DAGMM;EmailSpam-bert;A;10.36
SO_GAAL;EmailSpam-bert;A;11.71
LUNAR;EmailSpam-bert;A;2.88
GANoma;EmailSpam-bert;A;8.62
FTTransformer;EmailSpam-bert;B;2429.06
FEAWAD;EmailSpam-bert;B;375.3
DevNet;EmailSpam-bert;B;12.92
FTTransformer;EmailSpam-bert;C;4569.83
FEAWAD;EmailSpam-bert;C;378.86
DevNet;EmailSpam-bert;C;12.94
FTTransformer;EmailSpam-bert;D;1635.81
FEAWAD;EmailSpam-bert;D;378.39
DevNet;EmailSpam-bert;D;12.81
FTTransformer;EmailSpam-bert;E;2951.68
FEAWAD;EmailSpam-bert;E;378.09
DevNet;EmailSpam-bert;E;12.88
AE;NSL-KDD;A;5.84
VAE;NSL-KDD;A;28.99
DeepSVDD;NSL-KDD;A;5.7
DAGMM;NSL-KDD;A;25.36
SO_GAAL;NSL-KDD;A;22.18
LUNAR;NSL-KDD;A;5.41
GANoma;NSL-KDD;A;13.89
FTTransformer;NSL-KDD;B;519.08
FEAWAD;NSL-KDD;B;270.98
DevNet;NSL-KDD;B;13.32
FTTransformer;NSL-KDD;C;677.51
FEAWAD;NSL-KDD;C;271.16
DevNet;NSL-KDD;C;12.6
FTTransformer;NSL-KDD;D;962.63
FEAWAD;NSL-KDD;D;271.06
DevNet;NSL-KDD;D;12.94
FTTransformer;NSL-KDD;E;934.84
FEAWAD;NSL-KDD;E;275.23
DevNet;NSL-KDD;E;13.72
AE;CreditCard;A;4.9
VAE;CreditCard;A;28.44
DeepSVDD;CreditCard;A;5.88
DAGMM;CreditCard;A;23.66
SO_GAAL;CreditCard;A;19.49
LUNAR;CreditCard;A;4.98
GANoma;CreditCard;A;9.72
